target_value,target_name,samples,auc_score,best_val_auc
1,GG,4000,0.9975762335526315,0.9974809288978577
0,C1N2,3000,0.9849566017316017,0.9848563075065613
6,Zprime2000,1000,0.9483737341772152,0.9485796689987183
7,Zprime750,1000,0.9243446202531646,0.9243682026863098
5,ZPrime,1000,0.9153221518987341,0.9149919748306274
8,singletop,6000,0.9044890765765766,0.9044180512428284
9,ttbar,1000,0.8963104430379747,0.8963019251823425
3,W,24000,0.8182156343005952,0.8183273077011108
4,Z,32000,0.8053901774088542,0.8054087162017822
2,VV,7000,0.7570786692759295,0.7569337487220764
